gene_id,tempResponsive,PIF7Dependent
AT1G09040,False,False
AT1G09050,False,False
AT1G09060,False,False
AT1G09070,False,False
AT1G09090,False,False
AT1G09100,False,False
AT1G09130,False,False
AT1G09140,True,False
AT1G09150,False,False
AT1G09155,False,False
AT1G09160,False,False
AT1G09180,True,True
AT1G09190,False,False
AT1G09195,False,False
AT1G09200,False,False
AT1G09210,False,False
AT1G09220,False,False
AT1G09230,False,False
AT1G09240,False,False
AT1G09250,True,True
AT1G09270,False,False
AT1G09280,False,False
AT1G09290,False,False
AT1G09300,False,False
AT1G09310,False,True
AT1G09320,False,False
AT1G09330,False,False
AT1G09340,False,False
AT1G09380,False,False
AT1G09390,False,False
AT1G09410,False,False
AT1G09415,False,False
AT1G09420,False,False
AT1G09421,False,False
AT1G09430,False,False
AT1G09440,False,False
AT1G09450,False,False
AT1G09460,True,True
AT1G09470,False,False
AT1G09480,False,False
AT1G09486,False,False
AT1G09490,False,False
AT1G09500,False,False
AT1G09520,False,False
AT1G09530,False,False
AT1G09540,False,False
AT1G09560,False,False
AT1G09570,True,True
AT1G09575,False,False
AT1G09580,False,False
AT1G09590,False,False
AT1G09600,False,False
AT1G09610,False,False
AT1G09620,False,False
AT1G09630,False,False
AT1G09640,False,False
AT1G09645,False,False
AT1G09660,False,False
AT1G09680,False,False
AT1G09690,False,False
AT1G09700,False,False
AT1G09710,False,False
AT1G09730,False,False
AT1G09740,False,False
AT1G09750,False,False
AT1G09760,False,False
AT1G09770,False,False
AT1G09780,False,False
AT1G09794,False,False
AT1G09795,False,False
AT1G09800,False,False
AT1G09810,False,False
AT1G09812,False,True
AT1G09815,False,False
AT1G09820,False,False
AT1G09830,False,False
AT1G09840,False,False
AT1G09850,False,False
AT1G09870,False,False
AT1G09890,False,True
AT1G09900,False,False
AT1G09910,False,False
AT1G09920,False,False
AT1G09932,False,False
AT1G09940,False,False
AT1G09960,False,False
AT1G09970,False,False
AT1G09980,False,False
AT1G09995,False,False
AT1G10020,False,False
AT1G10030,False,False
AT1G10040,False,False
AT1G10050,False,False
AT1G10060,False,False
AT1G10070,True,False
AT1G10090,False,False
AT1G10095,False,False
AT1G10120,False,False
AT1G10130,False,False
AT1G10140,False,False
AT1G10150,False,False
AT1G10155,False,False
AT1G10160,False,False
AT1G10170,False,False
AT1G10180,False,False
AT1G10200,False,False
AT1G10210,False,False
AT1G10230,False,False
AT1G10240,False,False
AT1G10270,False,False
AT1G10280,False,False
AT1G10290,False,False
AT1G10300,False,False
AT1G10310,False,False
AT1G10320,False,False
AT1G10330,False,False
AT1G10340,False,False
AT1G10350,False,False
AT1G10360,False,False
AT1G10370,False,False
AT1G10380,False,False
AT1G10390,False,False
AT1G10400,False,False
AT1G10410,False,False
AT1G10417,False,False
AT1G10430,False,False
AT1G10450,False,False
AT1G10460,False,False
AT1G10470,False,False
AT1G10480,False,False
AT1G10490,False,False
AT1G10500,False,False
AT1G10510,False,False
AT1G10520,False,False
AT1G10522,False,False
AT1G10530,False,False
AT1G10550,True,True
AT1G10560,False,False
AT1G10570,False,False
AT1G10580,False,False
AT1G10585,False,False
AT1G10590,False,False
AT1G10600,False,False
AT1G10610,False,False
AT1G10630,False,False
AT1G10640,False,False
AT1G10650,False,False
AT1G10657,False,False
AT1G10660,False,False
AT1G10670,False,False
AT1G10682,False,True
AT1G10690,False,False
AT1G10700,False,False
AT1G10720,False,False
AT1G10730,False,False
AT1G10740,True,False
AT1G10750,False,False
AT1G10760,False,False
AT1G10780,False,False
AT1G10800,True,True
AT1G10810,False,False
AT1G10820,False,False
AT1G10830,False,False
AT1G10840,False,False
AT1G10850,False,False
AT1G10865,False,False
AT1G10870,False,False
AT1G10890,False,False
AT1G10900,False,False
AT1G10910,False,False
AT1G10920,False,False
AT1G10930,False,False
AT1G10940,False,False
AT1G10950,False,False
AT1G10960,False,False
AT1G10970,False,False
AT1G10990,False,False
AT1G11000,False,True
AT1G11020,False,False
AT1G11050,False,False
AT1G11060,False,False
AT1G11070,False,False
AT1G11080,False,True
AT1G11090,False,False
AT1G11100,False,False
AT1G11112,False,False
AT1G11120,False,False
AT1G11125,False,False
AT1G11130,False,False
AT1G11150,False,False
AT1G11160,False,False
AT1G11170,False,False
AT1G11175,False,False
AT1G11180,False,False
AT1G11185,False,True
AT1G11190,False,False
AT1G11200,False,False
AT1G11210,False,False
AT1G11220,False,False
AT1G11240,False,False
AT1G11260,True,False
AT1G11270,True,False
AT1G11280,False,False
AT1G11290,False,False
AT1G11300,False,False
AT1G11310,False,False
AT1G11320,False,False
AT1G11330,False,False
AT1G11340,False,False
AT1G11350,False,False
AT1G11360,False,False
AT1G11380,False,False
AT1G11390,False,False
AT1G11400,False,False
AT1G11410,True,False
AT1G11420,False,False
AT1G11430,False,False
AT1G11440,False,False
AT1G11450,False,False
AT1G11460,False,False
AT1G11475,False,False
AT1G11480,False,False
AT1G11500,False,False
AT1G11530,False,False
AT1G11540,False,True
AT1G11545,True,True
AT1G11570,False,False
AT1G11580,False,False
AT1G11592,False,False
AT1G11600,False,False
AT1G11630,False,False
AT1G11650,False,False
AT1G11655,False,False
AT1G11660,False,False
AT1G11670,False,False
AT1G11680,False,False
AT1G11700,False,False
AT1G11710,False,False
AT1G11720,False,False
AT1G11730,False,False
AT1G11735,True,True
AT1G11740,False,False
AT1G11750,False,False
AT1G11755,False,False
AT1G11760,False,False
AT1G11780,False,False
AT1G11790,False,False
AT1G11800,False,False
AT1G11820,False,False
AT1G11840,False,False
AT1G11850,False,False
AT1G11860,False,False
AT1G11870,False,False
AT1G11880,False,False
AT1G11890,False,False
AT1G11900,False,False
AT1G11905,False,False
AT1G11910,False,False
AT1G11930,False,False
AT1G11940,False,False
AT1G11950,False,False
AT1G11960,False,False
AT1G12000,False,False
AT1G12010,False,False
AT1G12013,True,True
AT1G12020,False,False
AT1G12040,False,False
AT1G12050,False,False
AT1G12060,False,False
AT1G12070,False,False
AT1G12080,True,True
AT1G12090,False,True
AT1G12100,False,False
AT1G12110,False,True
AT1G12120,False,False
AT1G12140,False,False
AT1G12160,False,False
AT1G12200,False,False
AT1G12210,False,False
AT1G12220,False,False
AT1G12230,False,False
AT1G12240,False,False
AT1G12244,False,False
AT1G12250,False,False
AT1G12260,False,False
AT1G12270,False,False
AT1G12280,False,False
AT1G12290,False,False
AT1G12300,False,False
AT1G12310,False,False
AT1G12320,False,False
AT1G12330,False,False
AT1G12340,False,False
AT1G12350,False,False
AT1G12360,False,False
AT1G12370,False,False
AT1G12380,False,False
AT1G12390,False,False
AT1G12400,False,False
AT1G12410,False,False
AT1G12420,False,False
AT1G12430,False,False
AT1G12440,False,False
AT1G12450,False,False
AT1G12460,False,False
AT1G12470,False,False
AT1G12480,False,False
AT1G12500,False,False
AT1G12520,False,False
AT1G12530,False,False
AT1G12550,False,False
AT1G12560,False,False
AT1G12570,False,False
AT1G12580,False,False
AT1G12620,False,False
AT1G12640,False,False
AT1G12650,False,False
AT1G12680,False,False
AT1G12700,False,False
AT1G12710,False,False
AT1G12730,False,False
AT1G12740,False,False
AT1G12750,False,False
AT1G12760,False,False
AT1G12770,False,False
AT1G12775,False,False
AT1G12780,True,False
AT1G12790,False,False
AT1G12800,False,False
AT1G12810,False,False
AT1G12820,False,False
AT1G12830,False,False
AT1G12840,False,False
AT1G12845,False,False
AT1G12850,False,False
AT1G12860,False,False
AT1G12880,False,False
AT1G12900,False,False
AT1G12910,False,False
AT1G12920,False,False
AT1G12930,False,False
AT1G12950,False,False
AT1G12970,False,False
AT1G12990,False,False
AT1G13000,False,False
AT1G13020,False,False
AT1G13030,False,False
AT1G13040,True,False
AT1G13050,True,False
AT1G13060,False,False
AT1G13080,True,False
AT1G13090,False,False
AT1G13100,False,False
AT1G13110,False,False
AT1G13120,False,False
AT1G13145,False,False
AT1G13160,False,False
AT1G13170,False,False
AT1G13180,False,False
AT1G13190,False,False
AT1G13195,False,False
AT1G13210,False,False
AT1G13220,False,False
AT1G13245,True,False
AT1G13250,False,False
AT1G13260,False,False
AT1G13270,False,False
AT1G13280,False,False
AT1G13300,False,False
AT1G13320,False,False
AT1G13330,False,False
AT1G13340,False,False
AT1G13350,False,False
AT1G13360,False,False
AT1G13380,False,False
AT1G13390,False,False
AT1G13400,False,False
AT1G13410,False,False
AT1G13420,False,False
AT1G13430,False,True
AT1G13440,False,False
AT1G13448,False,False
AT1G13450,False,False
AT1G13460,False,False
AT1G13480,False,True
