,ind1,ind2,indAll,indAny,indnot1,indnot2,ind1=tempResponsive,ind2=PIF7Dependent
225,AT2G07726,AT5G13930,AT4G08685,AT1G17870,AT1G20440,AT5G63600,,
226,AT5G25240,AT4G11950,AT1G29440,AT3G26220,AT3G14260,AT1G70250,,
227,AT4G16780,AT1G13670,AT4G37450,AT5G18060,AT1G68690,AT1G43790,,
228,AT3G48970,AT4G12730,AT5G08760,AT3G24715,AT2G34650,AT4G12400,,
229,AT4G39363,AT5G66800,AT2G07826,AT1G11735,AT4G13310,AT5G23840,,
230,AT4G39364,AT4G11521,AT4G36430,AT5G06860,AT5G66920,AT5G46460,,
231,AT1G09140,AT1G30280,AT2G46780,AT2G46670,ATCG01060,AT5G47560,,
232,AT4G17695,AT1G67265,AT4G35320,AT4G36900,AT5G66840,AT2G07765,,
233,AT2G38480,AT5G03260,AT5G48900,AT4G03320,AT4G29310,AT2G18050,,
234,AT2G21320,AT4G19370,AT5G01210,AT5G05840,ATCG00040,AT4G37800,,
235,AT1G03870,AT5G61660,AT3G50340,AT5G20250,AT2G24190,AT1G62290,,
236,AT3G18773,AT1G62981,AT3G48260,AT5G05960,AT5G02780,AT4G34790,,
237,AT3G26450,AT3G56230,AT5G11420,AT1G32330,AT1G52410,AT3G12320,,
238,AT5G03720,AT4G31940,AT5G53830,AT1G70920,AT3G21890,AT4G22200,,
239,AT3G62860,AT1G76240,AT2G38090,AT3G54200,AT1G32690,AT3G20470,,
240,AT5G51170,AT5G48657,AT4G28720,AT1G03620,AT1G22910,AT4G34260,,
241,AT4G27280,AT4G21650,AT3G62570,AT5G35525,AT3G08660,AT3G02620,,
242,AT5G03860,AT5G59320,AT3G59900,AT3G03341,AT1G64330,AT2G41312,,
243,AT1G64660,AT4G16270,AT5G06200,AT3G45960,AT3G05880,AT2G23672,,
244,AT1G29420,AT4G19120,AT3G54510,AT2G36870,AT3G21510,AT5G66650,,
245,AT5G57660,AT2G29120,AT5G66580,AT1G29020,AT4G11190,AT4G36600,,
246,AT3G46230,AT5G03130,AT3G29810,AT3G15540,ATMG00640,AT2G15880,,
247,AT1G14520,AT4G16780,AT4G32350,AT1G26911,AT1G62660,AT5G41470,,
248,AT5G15580,AT2G35710,AT4G21340,AT3G07010,AT3G50845,AT5G20240,,
249,AT3G03850,AT3G48970,AT4G33550,AT1G76410,AT3G60290,AT1G13245,,
250,AT5G51890,AT3G22620,AT3G05890,AT5G64180,AT3G50840,AT2G19580,,
251,ATMG01080,AT4G17695,AT4G26990,AT5G43270,AT1G68600,AT5G16370,,
